"rey, 25, 1, 3, 4, 5, 6, "
"frodo, 24, 1, 2, 3, 4, 5, 6, "
"gandalf, 17, 1, 2, 3, 5, 6, "
"minas, 17, 2, 3, 4, 5, 6, "
"gandalf,, 14, 1, 2, 3, 5, 6, "
"pippin, 11, 1, 2, 3, 5, 6, "
"llegar, 11, 1, 2, 3, 4, 5, 6, "
"camino, 11, 2, 4, 5, 6, "
"théoden, 11, 3, 5, 6, "
"ejército, 11, 3, 5, 6, "
"ciudad, 11, 3, 5, 6, "
"y,, 10, 1, 4, 5, 6, "
"mago, 9, 1, 2, 3, "
"merry, 9, 2, 3, 5, 6, "
"batalla, 9, 3, 5, 6, "
"gondor, 9, 3, 5, 6, "
"anillo, 8, 1, 2, 4, "
"allí, 8, 1, 2, 5, 6, "
"bosque, 8, 1, 2, 3, 5, 6, "
"hobbits, 8, 1, 2, 3, 4, "
"nazgûl, 8, 1, 2, 5, 6, "
"pippin,, 8, 2, 3, 5, 6, "
"comunidad, 8, 2, "
"brujo, 8, 5, 6, "
"embargo,, 7, 1, 2, 4, "
"ayuda, 7, 1, 5, 6, "
"aragorn,, 7, 1, 2, 3, 5, 6, "
"puerta, 7, 2, 4, 5, 6, "
"tirith,, 7, 2, 3, 4, 5, 6, "
"aragorn, 7, 2, 3, 5, 6, "
"rohirrim, 7, 3, 5, 6, "
"misión, 7, 4, 5, 6, "
"días, 6, 1, 2, 4, 5, 6, "
"él,, 6, 1, 2, 4, 5, 6, "
"parten, 6, 1, 3, 4, 5, 6, "
"llegan, 6, 1, 4, 5, 6, "
"encuentran, 6, 1, 3, 4, 5, 6, "
"legolas, 6, 2, 3, 5, 6, "
"orcos., 6, 2, 3, 4, 5, 6, "
"batalla,, 6, 3, 5, 6, "
"rohan, 6, 3, 5, 6, "
"faramir, 6, 4, 5, 6, "
"tropas, 6, 4, 5, 6, "
"senescal, 6, 5, 6, "
"sur, 6, 5, 6, "
"detener, 6, 5, 6, "
"rammas, 6, 5, 6, "
"denethor,, 6, 5, 6, "
"busca, 5, 1, 2, 4, 5, 6, "
"sauron, 5, 1, 3, 5, 6, "
"río, 5, 1, 2, 5, 6, "
"acaba, 5, 1, 4, 5, 6, "
"llamado, 5, 1, 2, 5, 6, "
"gracias, 5, 1, 4, 5, 6, "
"día, 5, 1, 5, 6, "
"llegaron, 5, 2, 5, 6, "
"sam, 5, 2, 3, 4, "
"ataque, 5, 3, 5, 6, "
"tanto,, 5, 4, 5, 6, "
"lucha, 5, 4, 5, 6, "
"decide, 5, 4, 5, 6, "
"comienza, 4, 1, 4, 5, 6, "
"bilbo, 4, 1, "
"viaje,, 4, 1, 4, 5, 6, "
"hobbits., 4, 1, 3, 4, "
"merry,, 4, 1, 2, 5, 6, "
"deciden, 4, 1, 3, 4, "
"gandalf., 4, 1, 3, 5, 6, "
"hobbit, 4, 1, 3, 4, "
"casa, 4, 1, 3, 5, 6, "
"consejo, 4, 2, 4, 5, 6, "
"sam,, 4, 2, 4, "
"gimli,, 4, 2, 3, 5, 6, "
"rohan,, 4, 2, 3, 5, 6, "
"muerte, 4, 2, 5, 6, "
"sauron,, 4, 2, 3, 5, 6, "
"saruman, 4, 2, 3, "
"parth, 4, 2, 3, 5, 6, "
"galen,, 4, 2, 3, 5, 6, "
"boromir, 4, 2, 3, "
"rescatar, 4, 3, 4, 5, 6, "
"cazadores, 4, 3, "
"dirigen, 4, 3, 5, 6, "
"intención, 4, 3, 5, 6, "
"mordor, 4, 4, 5, 6, "
"mordor., 4, 4, 5, 6, "
"tomar, 4, 4, 5, 6, "
"tirith, 4, 5, 6, "
"denethor., 4, 5, 6, "
"servicios, 4, 5, 6, "
"sendero, 4, 5, 6, "
"corsarios, 4, 5, 6, "
"tomado, 4, 5, 6, "
"brujo., 4, 5, 6, "
"cumplir, 4, 5, 6, "
"espesa, 4, 5, 6, "
"obligado, 4, 5, 6, "
"echor, 4, 5, 6, "
"rath, 4, 5, 6, "
"dínen, 4, 5, 6, "
